worker_id,current_block,stop_signal_condition,SS_delay,correct_response,key_press,correct_trial,rt
s320,1,stop,500,-1,-1,1,-1
s320,1,go,550,77,77,1,756
s320,1,go,550,77,77,1,907
s320,1,stop,550,-1,-1,1,-1
s320,1,stop,600,-1,77,0,713
s320,1,go,550,77,77,1,791
s320,1,stop,550,-1,-1,1,-1
s320,1,stop,600,-1,77,0,858
s142,0,stop,400,-1,77,0,599
s142,0,go,350,90,90,1,376
s142,0,go,350,77,77,1,533
s142,0,stop,350,-1,77,0,436
s142,0,stop,300,-1,77,0,435
s142,0,stop,250,-1,-1,1,-1
s142,0,go,300,90,90,1,369
s142,0,go,300,90,90,1,378
s142,0,go,300,90,90,1,437
s142,0,go,300,77,77,1,467
s142,0,stop,300,-1,77,0,429
s142,0,stop,250,-1,-1,1,-1
s142,0,go,300,90,90,1,530
s142,0,stop,300,-1,-1,1,-1
s142,0,go,350,77,77,1,611
s142,0,go,350,77,77,1,551
s142,0,go,350,77,77,1,573
s142,0,go,350,77,77,1,561
s142,0,go,350,77,77,1,433
s142,0,go,350,77,77,1,468
s142,0,go,350,77,77,1,391
s142,0,stop,350,-1,90,0,430
s142,0,go,300,90,90,1,495
s142,0,stop,300,-1,90,0,431
s142,0,go,250,77,77,1,439
s142,0,go,250,77,77,1,423
s142,0,stop,250,-1,77,0,343
s142,0,go,200,90,90,1,406
s142,0,go,200,77,77,1,445
s142,0,go,200,77,90,0,773
s142,0,go,200,90,90,1,524
s142,0,stop,200,-1,-1,1,-1
s142,0,go,250,77,77,1,370
s142,0,go,250,90,90,1,447
s142,0,go,250,77,77,1,519
s142,0,stop,250,-1,-1,1,-1
s142,0,stop,300,-1,-1,1,-1
s142,0,go,350,90,90,1,568
s142,0,go,350,90,90,1,556
s142,0,go,350,90,90,1,473
s142,0,go,350,90,90,1,454
s142,0,stop,350,-1,77,0,411
s142,0,go,300,77,77,1,463
s142,0,stop,300,-1,77,0,445
s142,0,stop,250,-1,90,0,453
s142,0,go,200,90,90,1,567
s142,0,go,200,90,90,1,591
s142,0,go,200,90,90,1,507
s142,1,stop,200,-1,90,0,660
s142,1,stop,150,-1,-1,1,-1
s142,1,go,200,77,77,1,311
s142,1,go,200,77,77,1,430
s142,1,stop,200,-1,-1,1,-1
s142,1,stop,250,-1,-1,1,-1
s142,1,go,300,77,77,1,581
s142,1,stop,300,-1,-1,1,-1
s142,1,go,350,90,90,1,558
s142,1,go,350,77,77,1,461
s142,1,stop,350,-1,90,0,468
s142,1,stop,300,-1,77,0,434
s142,1,go,250,77,77,1,530
s142,1,go,250,90,90,1,641
s142,1,stop,250,-1,77,0,401
s142,1,stop,200,-1,-1,1,-1
s142,1,stop,250,-1,-1,1,-1
s142,1,go,300,90,90,1,472
s142,1,go,300,77,77,1,493
s142,1,go,300,90,90,1,551
s142,1,go,300,77,77,1,558
s142,1,go,300,90,90,1,512
s142,1,go,300,77,77,1,476
s142,1,go,300,77,77,1,514
s142,1,go,300,90,90,1,439
s142,1,go,300,90,90,1,456
s142,1,stop,300,-1,77,0,428
s142,1,go,250,90,90,1,501
s142,1,go,250,90,90,1,457
s142,1,go,250,77,77,1,401
s142,1,go,250,77,77,1,459
s142,1,go,250,90,90,1,457
s142,1,stop,250,-1,-1,1,-1
s142,1,go,300,77,77,1,458
s142,1,go,300,90,90,1,315
s142,1,go,300,77,77,1,457
s142,1,stop,300,-1,90,0,456
s142,1,go,250,77,77,1,391
s142,1,go,250,90,90,1,492
s142,1,stop,250,-1,-1,1,-1
s142,1,go,300,90,90,1,473
s142,1,go,300,77,77,1,545
s142,1,go,300,90,90,1,472
s142,1,go,300,90,90,1,471
s142,1,go,300,90,90,1,532
s142,1,go,300,77,77,1,469
s142,1,stop,300,-1,-1,1,-1
s142,1,stop,350,-1,90,0,382
s142,2,go,300,77,77,1,832
