worker_id,current_block,stop_signal_condition,SS_delay,correct_response,key_press,correct_trial,rt
A3V1ZYXBJYCIIE,0,stop,350,-1,-1,1,-1
A3V1ZYXBJYCIIE,0,stop,400,-1,-1,1,-1
A3V1ZYXBJYCIIE,0,go,450,90,90,1,646
A3V1ZYXBJYCIIE,0,go,450,90,90,1,750
A3V1ZYXBJYCIIE,0,stop,450,-1,90,0,564
A3V1ZYXBJYCIIE,0,go,400,90,90,1,667
A3V1ZYXBJYCIIE,0,stop,400,-1,-1,1,-1
A3V1ZYXBJYCIIE,0,go,450,90,90,1,618
A3V1ZYXBJYCIIE,0,stop,450,-1,90,0,593
A3V1ZYXBJYCIIE,0,go,400,77,77,1,758
A3V1ZYXBJYCIIE,0,go,400,90,90,1,859
A3V1ZYXBJYCIIE,0,go,400,90,90,1,746
A3V1ZYXBJYCIIE,0,stop,400,-1,-1,1,-1
A3V1ZYXBJYCIIE,0,stop,450,-1,-1,1,-1
A3V1ZYXBJYCIIE,0,stop,500,-1,77,0,545
A3V1ZYXBJYCIIE,0,go,450,77,77,1,679
A3V1ZYXBJYCIIE,0,go,450,77,77,1,559
A3V1ZYXBJYCIIE,0,go,450,77,77,1,694
A3V1ZYXBJYCIIE,0,stop,450,-1,-1,1,-1
A3V1ZYXBJYCIIE,0,go,500,77,77,1,708
A3V1ZYXBJYCIIE,0,go,500,77,77,1,712
A3V1ZYXBJYCIIE,0,go,500,77,77,1,751
A3V1ZYXBJYCIIE,1,stop,500,-1,90,0,662
A3V1ZYXBJYCIIE,1,go,450,90,90,1,575
A3V1ZYXBJYCIIE,1,stop,450,-1,-1,1,-1
A3V1ZYXBJYCIIE,1,go,500,77,77,1,846
A3V1ZYXBJYCIIE,1,go,500,90,90,1,757
A3V1ZYXBJYCIIE,1,go,500,77,77,1,732
A3V1ZYXBJYCIIE,1,go,500,77,77,1,708
A3V1ZYXBJYCIIE,1,go,500,77,77,1,715
A3V1ZYXBJYCIIE,1,go,500,90,90,1,660
